trip_id,bin_code,pred,actual,error,day,abs_error
D014501029,13,19.87945556640625,84.0,-64.12054443359375,5,64.12054443359375
D014501035,14,28.991477966308594,32.0,-3.0085220336914062,5,3.0085220336914062
D014501043,13,5.669055938720703,-45.0,50.6690559387207,5,50.6690559387207
D014501044,15,16.115100860595703,3.0,13.115100860595703,5,13.115100860595703
D014501046,14,-0.9181137084960938,-6.0,5.081886291503906,5,5.081886291503906
D014501047,16,21.008377075195312,-59.0,80.00837707519531,5,80.00837707519531
D014501049,15,-5.4178619384765625,3.0,-8.417861938476562,5,8.417861938476562
D014501050,17,10.255325317382812,84.0,-73.74467468261719,5,73.74467468261719
D014501052,16,1.5726547241210938,72.0,-70.4273452758789,5,70.4273452758789
D014501053,18,30.3046875,458.0,-427.6953125,5,427.6953125
D014501073,17,37.4005126953125,84.0,-46.5994873046875,5,46.5994873046875
D014501076,18,25.98929214477539,-18.0,43.98929214477539,5,43.98929214477539
D014501077,20,32.44491958618164,-1.0,33.44491958618164,5,33.44491958618164
D014501079,19,16.407562255859375,-33.0,49.407562255859375,5,49.407562255859375
D014501080,21,34.426361083984375,8.0,26.426361083984375,5,26.426361083984375
D014501082,20,14.970466613769531,65.0,-50.02953338623047,5,50.02953338623047
D014501083,22,44.15757751464844,205.0,-160.84242248535156,5,160.84242248535156
D014501085,21,24.709548950195312,-55.0,79.70954895019531,5,79.70954895019531
D014501086,23,82.84394073486328,450.0,-367.1560592651367,5,367.1560592651367
D014501091,22,5.12274169921875,7.0,-1.87725830078125,5,1.87725830078125
D014501092,24,49.705955505371094,-10.0,59.705955505371094,5,59.705955505371094
D014501094,23,-0.11817169189453125,-143.0,142.88182830810547,5,142.88182830810547
D014501095,25,19.18785858154297,0.0,19.18785858154297,5,19.18785858154297
D014501097,24,9.964973449707031,56.0,-46.03502655029297,5,46.03502655029297
D014501098,26,7.8690032958984375,9.0,-1.1309967041015625,5,1.1309967041015625
D014501100,25,61.47483825683594,5.000003814697266,56.47483444213867,5,56.47483444213867
D014501101,27,24.402992248535156,12.0,12.402992248535156,5,12.402992248535156
D014501103,26,57.1176643371582,14.0,43.1176643371582,5,43.1176643371582
D014501106,27,57.85563659667969,13.0,44.85563659667969,5,44.85563659667969
D0145035,8,-11.59552001953125,-55.0,43.40447998046875,5,43.40447998046875
D0145036,9,-11.819999694824219,102.0,-113.81999969482422,5,113.81999969482422
D0145037,11,56.92632293701172,-4.0,60.92632293701172,5,60.92632293701172
C9791910,9,14.02365493774414,18.0,-3.9763450622558594,5,3.9763450622558594
C97919107,18,20.626636505126953,-35.0,55.62663650512695,5,55.62663650512695
C97919116,19,33.77511215209961,97.0,-63.22488784790039,5,63.22488784790039
C97919122,20,96.19224548339844,-10.0,106.19224548339844,5,106.19224548339844
C97919131,21,75.55563354492188,123.0,-47.444366455078125,5,47.444366455078125
C97919140,22,47.58821487426758,14.0,33.58821487426758,5,33.58821487426758
C97919149,23,213.3468017578125,29.0,184.3468017578125,5,184.3468017578125
C97919155,24,62.17604064941406,-11.0,73.17604064941406,5,73.17604064941406
C9791916,10,22.309925079345703,-30.0,52.3099250793457,5,52.3099250793457
C97919161,25,64.05135345458984,123.0,-58.948646545410156,5,58.948646545410156
C97919167,26,35.903289794921875,-69.99999237060547,105.90328216552734,5,105.90328216552734
C97919173,27,59.810577392578125,17.000003814697266,42.81057357788086,5,42.81057357788086
C9791922,11,-2.8812637329101562,-18.0,15.118736267089844,5,15.118736267089844
C9791928,12,11.077838897705078,1.0,10.077838897705078,5,10.077838897705078
C9791940,14,7.383583068847656,-19.0,26.383583068847656,5,26.383583068847656
C9791946,15,19.53272247314453,-40.0,59.53272247314453,5,59.53272247314453
C9791952,16,-3.2411117553710938,7.0,-10.241111755371094,5,10.241111755371094
C9791958,17,9.035900115966797,10.0,-0.9640998840332031,5,0.9640998840332031
C979196,9,23.471786499023438,5.000003814697266,18.471782684326172,5,18.471782684326172
C97919692,13,5.287288665771484,-48.0,53.287288665771484,5,53.287288665771484
C978531,8,1.3337478637695312,18.0,-16.66625213623047,5,16.66625213623047
C9785310,11,6.066364288330078,-16.0,22.066364288330078,5,22.066364288330078
C97853100,24,232.44668579101562,-7.0,239.44668579101562,5,239.44668579101562
C97853103,23,4.94696044921875,43.0,-38.05303955078125,5,38.05303955078125
C97853106,25,50.02012634277344,57.0,-6.9798736572265625,5,6.9798736572265625
C97853109,24,30.00141143798828,-13.0,43.00141143798828,5,43.00141143798828
C97853112,26,49.31664276123047,94.0,-44.68335723876953,5,44.68335723876953
C97853115,25,9.177848815917969,238.0,-228.82215118408203,5,228.82215118408203
C97853121,26,26.87012481689453,20.0,6.870124816894531,5,6.870124816894531
C97853127,27,17.834087371826172,-26.99999237060547,44.83407974243164,5,44.83407974243164
C9785319,10,-7.779518127441406,-16.0,8.220481872558594,5,8.220481872558594
C9785322,12,23.70074462890625,172.0,-148.29925537109375,5,148.29925537109375
C9785325,11,20.81055450439453,117.0,-96.18944549560547,5,96.18944549560547
C9785328,13,50.15882873535156,8.0,42.15882873535156,5,42.15882873535156
C9785331,12,28.739173889160156,-97.99999237060547,126.73916625976562,5,126.73916625976562
C9785334,14,6.411571502685547,-25.00000762939453,31.411579132080078,5,31.411579132080078
C9785337,13,-6.6400604248046875,26.0,-32.64006042480469,5,32.64006042480469
C978534,10,-4.606971740722656,15.0,-19.606971740722656,5,19.606971740722656
C9785340,15,27.98410415649414,105.0,-77.01589584350586,5,77.01589584350586
C9785343,14,9.810165405273438,105.0,-95.18983459472656,5,95.18983459472656
C9785346,16,6.371982574462891,-13.0,19.37198257446289,5,19.37198257446289
C9785349,15,11.207286834716797,-1.0,12.207286834716797,5,12.207286834716797
C9785352,17,25.86193084716797,-49.0,74.86193084716797,5,74.86193084716797
C9785355,16,3.4427566528320312,72.0,-68.55724334716797,5,68.55724334716797
C9785358,17,24.992382049560547,134.0,-109.00761795043945,5,109.00761795043945
C9785364,18,63.280879974365234,-13.999992370605469,77.2808723449707,5,77.2808723449707
C9785367,17,37.8450927734375,79.0,-41.1549072265625,5,41.1549072265625
C978537,9,3.924774169921875,-118.99999237060547,122.92476654052734,5,122.92476654052734
C9785370,19,60.010162353515625,-11.0,71.01016235351562,5,71.01016235351562
C9785373,18,31.243667602539062,25.0,6.2436676025390625,5,6.2436676025390625
C9785376,20,98.49542236328125,-12.0,110.49542236328125,5,110.49542236328125
C9785379,19,12.367927551269531,215.0,-202.63207244873047,5,202.63207244873047
C9785382,21,11.55096435546875,145.0,-133.44903564453125,5,133.44903564453125
C9785385,20,61.01304244995117,122.0,-60.98695755004883,5,60.98695755004883
C9785388,22,125.91613006591797,162.0,-36.08386993408203,5,36.08386993408203
C9785391,21,26.445938110351562,68.0,-41.55406188964844,5,41.55406188964844
C9785394,23,220.26821899414062,-11.0,231.26821899414062,5,231.26821899414062
C9785397,22,32.644493103027344,-37.0,69.64449310302734,5,69.64449310302734
